regiao,operacao,original,temperatura,temperaturatermometro,amplitude,status,dataref,year,month,day
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,19.6,22.8,0.0,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,20.7,22.8,1.1,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,20.7,22.8,1.1,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,20.8,22.8,1.2,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,20.8,22.8,1.2,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,20.4,22.8,0.8,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,20.4,22.8,0.8,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,19.9,19.9,1.2,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,25.4,19.9,6.7,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,25.4,19.9,6.7,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,28.3,19.9,9.6,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,28.3,19.9,9.6,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,31.3,19.9,12.6,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,31.3,19.9,12.6,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,33.6,19.9,14.9,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,33.6,19.9,14.9,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,36.1,19.9,17.4,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,36.1,19.9,17.4,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,37.9,19.9,19.2,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,20.6,20.6,1.9,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,47.6,20.6,28.9,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,47.6,20.6,28.9,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,48.5,20.6,29.8,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,48.5,20.6,29.8,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,48.6,20.6,29.9,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,48.6,20.6,29.9,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,49.3,20.6,30.6,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,49.3,20.6,30.6,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,48.3,20.6,29.6,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,48.3,20.6,29.6,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,48.6,20.6,29.9,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,48.6,20.6,29.9,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,48.1,20.6,29.4,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,48.1,20.6,29.4,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,48.5,20.6,29.8,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,48.5,20.6,29.8,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,48.5,20.6,29.8,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,48.5,20.6,29.8,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,47.9,20.6,29.2,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,47.9,20.6,29.2,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,48.1,20.6,29.4,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,48.1,20.6,29.4,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,47.4,20.6,28.7,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,47.4,20.6,28.7,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,47.0,20.6,28.3,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,47.0,20.6,28.3,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,46.6,20.6,27.9,ErroTOCF,2024-04-28,2024,4,28
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,46.6,20.6,27.9,ErroTOCF,2024-04-28,2024,4,28
